sqlID,nodeID,nodeName,accumulatorId,name,min,median,max,total,metricType,stageIds
1,86,"WholeStageCodegen (6)",2531,"duration",4668,4668,4668,4668,"timing","14"
1,87,"Filter",2532,"number of output rows",731,731,731,731,"sum","14"
1,88,"ColumnarToRow",2533,"number of output rows",731,731,731,731,"sum","14"
1,88,"ColumnarToRow",2534,"number of input batches",1,1,1,1,"sum","14"
1,89,"Scan parquet spark_catalog.demo_pauldefusco.calendar",336,"number of output rows",731,731,731,731,"sum","14"
1,89,"Scan parquet spark_catalog.demo_pauldefusco.calendar",337,"scan time",4657,4657,4657,4657,"timing","14"
1,89,"Scan parquet spark_catalog.demo_pauldefusco.calendar",338,"number of files read",1,1,1,1,"sum","14"
1,89,"Scan parquet spark_catalog.demo_pauldefusco.calendar",339,"metadata time",10,10,10,10,"timing","14"
1,89,"Scan parquet spark_catalog.demo_pauldefusco.calendar",340,"size of files read",10508,10508,10508,10508,"size","14"
1,90,"WholeStageCodegen (128)",26831,"duration",3120,25287,47624,25535660,"timing","208"
1,91,"Sort",26832,"sort time",36,36,322,49706,"timing","208"
1,91,"Sort",26833,"peak memory",71303168,71303168,71303168,71303168000,"size","208"
1,91,"Sort",26834,"spill size",0,0,0,0,"size","208"
1,92,"Exchange",26168,"data size",24129864,26094752,28005384,26095002648,"size","160,208"
1,92,"Exchange",26169,"number of partitions",1000,1000,1000,1000,"sum","160,208"
1,92,"Exchange",26170,"remote blocks read",992,992,1000,995885,"sum","160,208"
1,92,"Exchange",26171,"local blocks read",1,1,8,4115,"sum","160,208"
1,92,"Exchange",26172,"remote bytes read",16771643,16955631,17125292,16955875964,"size","160,208"
1,92,"Exchange",26174,"local bytes read",14792,70772,144341,70164739,"size","160,208"
1,92,"Exchange",26175,"fetch wait time",0,0,0,0,"timing","160,208"
1,92,"Exchange",26176,"records read",98022,98596,99830,98844707,"sum","160,208"
1,92,"Exchange",26185,"remote reqs duration",17066,69838,240049,70080249,"timing","160,208"
1,92,"Exchange",26187,"shuffle bytes written",15766024,17025789,18255943,17026040703,"size","160,208"
1,92,"Exchange",26188,"shuffle records written",91401,98595,106081,98844707,"sum","160,208"
1,92,"Exchange",26189,"shuffle write time",10950727,24427286,185345313,24427531775,"nsTiming","160,208"
1,93,"WholeStageCodegen (120)",26190,"duration",599,986,2398,1220955,"timing","160"
1,95,"SortMergeJoin",26191,"number of output rows",91401,98595,106081,98844707,"sum","160"
1,95,"SortMergeJoin",26192,"spill size",0,0,0,0,"size","160"
1,96,"WholeStageCodegen (118)",26194,"duration",621,1072,2658,1318918,"timing","160"
1,97,"Sort",26195,"sort time",115,124,544,189776,"timing","160"
1,97,"Sort",26196,"peak memory",71303168,71303168,71303168,71303168000,"size","160"
1,97,"Sort",26197,"spill size",0,0,0,0,"size","160"
1,98,"Exchange",25754,"data size",18033984,18977936,20398848,18978183744,"size","134,160"
1,98,"Exchange",25755,"number of partitions",1000,1000,1000,1000,"sum","134,160"
1,98,"Exchange",25756,"remote blocks read",992,992,1000,995915,"sum","134,160"
1,98,"Exchange",25757,"local blocks read",1,1,8,4085,"sum","134,160"
1,98,"Exchange",25758,"remote bytes read",8999150,9723604,10404461,9723851133,"size","134,160"
1,98,"Exchange",25760,"local bytes read",7390,39653,87198,39773963,"size","134,160"
1,98,"Exchange",25761,"fetch wait time",0,0,278,5041,"timing","134,160"
1,98,"Exchange",25762,"records read",91401,98595,106081,98844707,"sum","134,160"
1,98,"Exchange",25771,"remote reqs duration",5041,15837,50765,16099337,"timing","134,160"
1,98,"Exchange",25773,"shuffle bytes written",9296411,9763372,10476815,9763625096,"size","134,160"
1,98,"Exchange",25774,"shuffle records written",93927,98598,106244,98844707,"sum","134,160"
1,98,"Exchange",25775,"shuffle write time",8386810,15531658,97720632,15531907964,"nsTiming","134,160"
1,99,"WholeStageCodegen (114)",25776,"duration",484,899,2390,1163293,"timing","134"
1,101,"SortMergeJoin",25777,"number of output rows",93927,98598,106244,98844707,"sum","134"
1,101,"SortMergeJoin",25778,"spill size",0,0,0,0,"size","134"
1,102,"WholeStageCodegen (112)",25780,"duration",512,1130,2577,1390722,"timing","134"
1,103,"Sort",25781,"sort time",67,83,712,240779,"timing","134"
1,103,"Sort",25782,"peak memory",71303168,71303168,71303168,71303168000,"size","134"
1,103,"Sort",25783,"spill size",0,0,0,0,"size","134"
1,104,"Exchange",23890,"data size",11740440,11861122,12004440,11861364840,"size","103,134"
1,104,"Exchange",23891,"number of partitions",1000,1000,1000,1000,"sum","103,134"
1,104,"Exchange",23892,"remote blocks read",988,988,1000,995955,"sum","103,134"
1,104,"Exchange",23893,"local blocks read",1,1,12,4045,"sum","103,134"
1,104,"Exchange",23894,"remote bytes read",3519483,3705758,3989270,3706005078,"size","103,134"
1,104,"Exchange",23896,"local bytes read",3284,25530,47980,15050645,"size","103,134"
1,104,"Exchange",23897,"fetch wait time",0,0,1029,92961,"timing","103,134"
1,104,"Exchange",23898,"records read",93927,98598,106244,98844707,"sum","103,134"
1,104,"Exchange",23907,"remote reqs duration",1012,4026,31151,4271206,"timing","103,134"
1,104,"Exchange",23909,"shuffle bytes written",3689590,3720810,3764537,3721055723,"size","103,134"
1,104,"Exchange",23910,"shuffle records written",97837,98604,100037,98844707,"sum","103,134"
1,104,"Exchange",23911,"shuffle write time",5547314,10317649,59113221,10317896901,"nsTiming","103,134"
1,105,"Exchange",19208,"data size",11063880,35512986,42144240,11861364840,"size","75,103"
1,105,"Exchange",19209,"number of partitions",1000,1000,1000,1000,"sum","75,103"
1,105,"Exchange",19210,"remote blocks read",329,329,334,332127,"sum","75,103"
1,105,"Exchange",19211,"local blocks read",1,1,5,1873,"sum","75,103"
1,105,"Exchange",19212,"remote bytes read",3320933,3373050,3422600,3373305169,"size","75,103"
1,105,"Exchange",19214,"local bytes read",8640,38494,52397,18998311,"size","75,103"
1,105,"Exchange",19215,"fetch wait time",0,1050,4907,1299485,"timing","75,103"
1,105,"Exchange",19216,"records read",97837,98604,100037,98844707,"sum","75,103"
1,105,"Exchange",19225,"remote reqs duration",587,7565,28681,7819503,"timing","75,103"
1,105,"Exchange",19227,"shuffle bytes written",3310455,10156516,12044805,3392303480,"size","75,103"
1,105,"Exchange",19228,"shuffle records written",92199,295864,351202,98844707,"sum","75,103"
1,105,"Exchange",19229,"shuffle write time",8803413,14488289,227406741,4839117110,"nsTiming","75,103"
1,106,"WholeStageCodegen (96)",19230,"duration",4059,7236,11655,2446444,"timing","75"
1,107,"HashAggregate",19231,"number of output rows",92199,295864,351202,98844707,"sum","75"
1,107,"HashAggregate",19232,"peak memory",68157440,75827033,83886080,25326256128,"size","75"
