sqlID,nodeID,SQL Node,Child Node,Child NodeID
4,15,"WholeStageCodegen (9)","SortMergeJoin",17
4,18,"WholeStageCodegen (7)","Sort",19
4,22,"WholeStageCodegen (6)","Project",23
4,22,"WholeStageCodegen (6)","SortMergeJoin",24
4,25,"WholeStageCodegen (4)","Sort",26
4,29,"WholeStageCodegen (1)","Filter",30
4,34,"WholeStageCodegen (22)","Sort",35
4,38,"WholeStageCodegen (21)","Project",39
4,38,"WholeStageCodegen (21)","SortMergeJoin",40
4,41,"WholeStageCodegen (19)","Sort",42
4,45,"WholeStageCodegen (18)","Project",46
4,45,"WholeStageCodegen (18)","SortMergeJoin",47
4,48,"WholeStageCodegen (16)","Sort",49
4,52,"WholeStageCodegen (15)","Project",53
4,52,"WholeStageCodegen (15)","SortMergeJoin",54
4,55,"WholeStageCodegen (13)","Sort",56
4,59,"WholeStageCodegen (12)","Project",60
4,59,"WholeStageCodegen (12)","SortMergeJoin",61
4,62,"WholeStageCodegen (10)","Sort",63
4,66,"WholeStageCodegen (9)","Project",67
4,66,"WholeStageCodegen (9)","SortMergeJoin",68
4,69,"WholeStageCodegen (7)","Sort",70
4,73,"WholeStageCodegen (1)","Filter",74
4,73,"WholeStageCodegen (1)","ColumnarToRow",75
4,77,"WholeStageCodegen (8)","Sort",78
4,81,"WholeStageCodegen (2)","Filter",82
4,81,"WholeStageCodegen (2)","ColumnarToRow",83
4,85,"WholeStageCodegen (11)","Sort",86
4,89,"WholeStageCodegen (3)","Filter",90
4,89,"WholeStageCodegen (3)","ColumnarToRow",91
4,93,"WholeStageCodegen (14)","Sort",94
4,97,"WholeStageCodegen (4)","Filter",98
4,97,"WholeStageCodegen (4)","ColumnarToRow",99
4,101,"WholeStageCodegen (17)","Sort",102
4,105,"WholeStageCodegen (5)","Filter",106
4,105,"WholeStageCodegen (5)","ColumnarToRow",107
4,109,"WholeStageCodegen (20)","Sort",110
4,113,"WholeStageCodegen (6)","Filter",114
4,113,"WholeStageCodegen (6)","ColumnarToRow",115
4,117,"WholeStageCodegen (5)","Sort",118
4,121,"WholeStageCodegen (2)","HashAggregate",122
4,121,"WholeStageCodegen (2)","HashAggregate",123
4,121,"WholeStageCodegen (2)","Filter",124
4,128,"WholeStageCodegen (22)","Sort",129
4,130,"WholeStageCodegen (8)","Sort",131
4,130,"WholeStageCodegen (8)","HashAggregate",132
4,135,"WholeStageCodegen (3)","HashAggregate",136
4,135,"WholeStageCodegen (3)","Filter",137
4,141,"WholeStageCodegen (22)","Sort",142
5,1,"WholeStageCodegen (2)","HashAggregate",2
5,4,"WholeStageCodegen (1)","HashAggregate",5
5,11,"WholeStageCodegen (1)","Generate",12
5,11,"WholeStageCodegen (1)","Filter",13
5,17,"WholeStageCodegen (22)","Sort",18
5,21,"WholeStageCodegen (21)","Project",22
5,21,"WholeStageCodegen (21)","SortMergeJoin",23
5,24,"WholeStageCodegen (19)","Sort",25
5,28,"WholeStageCodegen (18)","Project",29
5,28,"WholeStageCodegen (18)","SortMergeJoin",30
5,31,"WholeStageCodegen (16)","Sort",32
5,35,"WholeStageCodegen (15)","Project",36
5,35,"WholeStageCodegen (15)","SortMergeJoin",37
5,38,"WholeStageCodegen (13)","Sort",39
5,42,"WholeStageCodegen (12)","Project",43
5,42,"WholeStageCodegen (12)","SortMergeJoin",44
5,45,"WholeStageCodegen (10)","Sort",46
5,49,"WholeStageCodegen (9)","Project",50
5,49,"WholeStageCodegen (9)","SortMergeJoin",51
5,52,"WholeStageCodegen (7)","Sort",53
5,56,"WholeStageCodegen (1)","Filter",57
5,56,"WholeStageCodegen (1)","ColumnarToRow",58
5,60,"WholeStageCodegen (8)","Sort",61
5,64,"WholeStageCodegen (2)","Filter",65
5,64,"WholeStageCodegen (2)","ColumnarToRow",66
5,68,"WholeStageCodegen (11)","Sort",69
5,72,"WholeStageCodegen (3)","Filter",73
5,72,"WholeStageCodegen (3)","ColumnarToRow",74
5,76,"WholeStageCodegen (14)","Sort",77
5,80,"WholeStageCodegen (4)","Filter",81
5,80,"WholeStageCodegen (4)","ColumnarToRow",82
5,84,"WholeStageCodegen (17)","Sort",85
5,88,"WholeStageCodegen (5)","Filter",89
5,88,"WholeStageCodegen (5)","ColumnarToRow",90
5,92,"WholeStageCodegen (20)","Sort",93
5,96,"WholeStageCodegen (6)","Filter",97
5,96,"WholeStageCodegen (6)","ColumnarToRow",98
