stageId,numTasks,Duration,diskBytesSpilled_sum,duration_sum,duration_max,duration_min,duration_avg,executorCPUTime_sum,executorDeserializeCPUTime_sum,executorDeserializeTime_sum,executorRunTime_sum,input_bytesRead_sum,input_recordsRead_sum,jvmGCTime_sum,memoryBytesSpilled_sum,output_bytesWritten_sum,output_recordsWritten_sum,peakExecutionMemory_max,resultSerializationTime_sum,resultSize_max,sr_fetchWaitTime_sum,sr_localBlocksFetched_sum,sr_localBytesRead_sum,sr_remoteBlocksFetched_sum,sr_remoteBytesRead_sum,sr_remoteBytesReadToDisk_sum,sr_totalBytesRead_sum,sw_bytesWritten_sum,sw_recordsWritten_sum,sw_writeTime_sum
62,800,82695,0,899307,1667,882,1124.1,881415,2945,2895,892290,0,0,6223,0,0,0,344064000,0,11637,290,11402,414851769,648598,23094638022,0,23509489791,3919312696,247163783,5713
57,88,80386,0,689716,12690,3602,7837.7,244972,362,19899,669453,0,0,2913,0,0,0,570556416,0,7997,409655,805,77861805,92563,8796473542,0,8874335347,3719439140,126059762,2247
54,11,79740,0,79474,12763,2568,7224.9,32723,55,169,79259,0,0,311,0,0,0,637665280,0,7997,45339,32,3264444,11639,1132657426,0,1135921870,474607617,16580106,275
60,800,74019,0,1316691,10634,805,1645.9,791885,2877,2725,1310274,0,0,5978,0,0,0,344064000,0,11637,509611,4561,147985018,655439,20948183927,0,21096168945,3146480906,247163783,5224
65,2,71662,0,15545,8062,7483,7772.5,2954,6,16,15521,600315,40005,75,0,0,0,67633152,0,2942,0,0,0,0,0,0,0,973410,40005,6
74,798,54336,0,410793,1152,267,514.8,396986,4209,4346,402596,0,0,3661,0,0,0,251723776,0,15277,13,13689,137001442,646311,6304018888,0,6441020330,4840653835,247163783,5958
81,1,53155,0,11445,11445,11445,11445.0,4608,19,22,11415,221535,20008,299,0,0,0,67633152,0,2942,0,0,0,0,0,0,0,316983,20008,6
77,798,50512,0,512662,1331,323,642.4,497129,3701,3613,503760,0,0,4198,0,0,0,251723776,0,15277,66,13713,188630998,646287,8637972942,0,8826603940,7408719413,247163783,7375
85,798,50079,0,613606,3565,276,768.9,432981,4166,12466,596436,0,0,4808,0,0,0,251723776,5,15317,141118,12725,132627931,647275,6583432828,0,6716060759,5131296890,247163783,6475
88,800,39910,0,1221622,2512,402,1527.0,393986,4500,7104,1209110,0,0,8093,0,0,0,251723776,4,15318,786511,4603,22021131,655397,3128883360,0,3150904491,1487326527,247163783,4533
55,815,37950,0,983284,1883,17,626.4,955940,3069,3046,976027,0,0,7194,0,0,0,344064000,0,11637,4668,3411,169609544,656589,32775299154,0,32944908698,5600205462,247163783,6837
92,798,36997,0,1483661,4722,513,1859.2,527213,4740,17535,1460736,0,0,8165,0,0,0,251723776,21,15319,901697,4139,36011760,655861,5572231672,0,5608243432,4763629155,247163783,6659
104,413,32687,0,999855,5684,431,2421.0,351594,2935,8917,988527,0,0,7577,0,0,0,671154176,1,18917,620265,4348,30639254,633195,4810161968,0,4840801222,3795893821,247163783,3569
