stageId,accumulatorId,name,min,median,max,total
13,7139,"number of output rows",19980,19995,20012,500000
13,7140,"number of input batches",32,32,32,800
13,9994,"internal.metrics.executorDeserializeTime",1,1,22,182
13,9995,"internal.metrics.executorDeserializeCpuTime",1584479,3571704,8101000,89292758
13,9996,"internal.metrics.executorRunTime",5596,5872,6338,146919
13,9997,"internal.metrics.executorCpuTime",448388367,559355944,750463871,13983898762
13,9998,"internal.metrics.resultSize",2896,2917,2941,73067
13,9999,"internal.metrics.jvmGCTime",15,25,58,408
13,10003,"internal.metrics.peakExecutionMemory",67633152,67633152,67633152,1690828800
13,10022,"internal.metrics.shuffle.write.bytesWritten",316310,317285,318313,7932249
13,10023,"internal.metrics.shuffle.write.recordsWritten",19980,19995,20012,500000
13,10024,"internal.metrics.shuffle.write.writeTime",2914778,3631473,4638276,90786942
13,10025,"internal.metrics.input.bytesRead",221060,221283,221535,5532207
13,10026,"internal.metrics.input.recordsRead",19980,19995,20012,500000
14,1783,"number of output rows",2410100,2412965,3978300,2500000000
14,1784,"scan time",137,1847,42238,2080742
14,7302,"data size",115684800,115829931,190958400,120000000000
14,7321,"shuffle bytes written",56760023,56842086,93622305,58888670214
14,7322,"shuffle records written",2410100,2412965,3978300,2500000000
14,7323,"shuffle write time",29495426,39318451,94360692,40734182830
14,7324,"duration",138,2429,45295,2742955
14,7325,"number of output rows",2410100,2412965,3978300,2500000000
14,7326,"number of output rows",2410100,2412965,3978300,2500000000
14,7327,"number of input batches",589,589,972,610970
14,10029,"internal.metrics.executorDeserializeTime",1,53,5866,70902
14,10030,"internal.metrics.executorDeserializeCpuTime",1389040,13403218,631162094,13993229046
14,10031,"internal.metrics.executorRunTime",140,3745,47861,4157068
14,10032,"internal.metrics.executorCpuTime",43028938,2160003046,5436793470,2255043438379
14,10033,"internal.metrics.resultSize",2725,2889,2984,3056130
14,10034,"internal.metrics.jvmGCTime",9,14,472,38668
14,10035,"internal.metrics.resultSerializationTime",2,2,4,26
14,10038,"internal.metrics.peakExecutionMemory",32768,266507030,335544320,278233612288
14,10057,"internal.metrics.shuffle.write.bytesWritten",56760023,56842086,93622305,58888670214
14,10058,"internal.metrics.shuffle.write.recordsWritten",2410100,2412965,3978300,2500000000
14,10059,"internal.metrics.shuffle.write.writeTime",29495426,39318451,94360692,40734182830
14,10060,"internal.metrics.input.bytesRead",1005925,1026526,1040965,1072059065
14,10061,"internal.metrics.input.recordsRead",2410100,2412965,3978300,2500000000
15,1938,"number of output rows",731,731,731,731
15,1939,"scan time",234,234,234,234
15,7343,"data size",23392,23392,23392,23392
15,7362,"shuffle bytes written",44970,44970,44970,44970
15,7363,"shuffle records written",731,731,731,731
15,7364,"shuffle write time",2837216,2837216,2837216,2837216
15,7365,"duration",254,254,254,254
15,7366,"number of output rows",731,731,731,731
15,7367,"number of output rows",731,731,731,731
15,7368,"number of input batches",1,1,1,1
15,10064,"internal.metrics.executorDeserializeTime",7,7,7,7
15,10065,"internal.metrics.executorDeserializeCpuTime",4111904,4111904,4111904,4111904
15,10066,"internal.metrics.executorRunTime",328,328,328,328
15,10067,"internal.metrics.executorCpuTime",117198467,117198467,117198467,117198467
15,10068,"internal.metrics.resultSize",2940,2940,2940,2940
15,10069,"internal.metrics.jvmGCTime",38,38,38,38
15,10073,"internal.metrics.peakExecutionMemory",67141632,67141632,67141632,67141632
15,10092,"internal.metrics.shuffle.write.bytesWritten",44970,44970,44970,44970
15,10093,"internal.metrics.shuffle.write.recordsWritten",731,731,731,731
15,10094,"internal.metrics.shuffle.write.writeTime",2837216,2837216,2837216,2837216
15,10095,"internal.metrics.input.bytesRead",7714,7714,7714,7714
15,10096,"internal.metrics.input.recordsRead",731,731,731,731
16,2152,"number of output rows",80000,80000,80000,2000000
16,2153,"scan time",5557,6160,7681,154143
16,7527,"data size",2560000,2560000,2560000,64000000
16,7546,"shuffle bytes written",794545,796163,797384,19904227
16,7547,"shuffle records written",80000,80000,80000,2000000
16,7548,"shuffle write time",3384995,6082307,15937578,152057817
16,7549,"duration",5601,6206,7735,155332
16,7550,"number of output rows",80000,80000,80000,2000000
16,7551,"number of output rows",80000,80000,80000,2000000
16,7552,"number of input batches",32,32,32,800
16,10099,"internal.metrics.executorDeserializeTime",1,5,40,289
16,10100,"internal.metrics.executorDeserializeCpuTime",1548111,4992108,10240188,124802829
16,10101,"internal.metrics.executorRunTime",5692,6347,8043,158825
16,10102,"internal.metrics.executorCpuTime",488245519,680249913,1045025469,17006247988
16,10103,"internal.metrics.resultSize",2897,2908,2941,72860
16,10104,"internal.metrics.jvmGCTime",14,41,137,429
16,10108,"internal.metrics.peakExecutionMemory",69206016,69206016,69206016,1730150400
16,10127,"internal.metrics.shuffle.write.bytesWritten",794545,796163,797384,19904227
16,10128,"internal.metrics.shuffle.write.recordsWritten",80000,80000,80000,2000000
16,10129,"internal.metrics.shuffle.write.writeTime",3384995,6082307,15937578,152057817
16,10130,"internal.metrics.input.bytesRead",215296,215473,215488,5386972
16,10131,"internal.metrics.input.recordsRead",80000,80000,80000,2000000
17,2214,"number of output rows",19980,19995,20012,500000
17,2215,"scan time",5547,18095,44754,452582
17,7559,"data size",700408,701488,702480,17537360
17,7578,"shuffle bytes written",320520,321512,322400,8037970
17,7579,"shuffle records written",19980,19995,20012,500000
17,7580,"shuffle write time",2966756,5083443,7769584,127086246
17,7581,"duration",5571,18504,45827,462733
17,7582,"number of output rows",19980,19995,20012,500000
17,7583,"number of output rows",19980,19995,20012,500000
17,7584,"number of input batches",32,32,32,800
17,10134,"internal.metrics.executorDeserializeTime",1,607,2052,15285
17,10135,"internal.metrics.executorDeserializeCpuTime",1616247,129807621,562846913,3245190657
17,10136,"internal.metrics.executorRunTime",5685,18910,46898,472877
17,10137,"internal.metrics.executorCpuTime",456833664,1318241327,3257566029,32956033362
17,10138,"internal.metrics.resultSize",2897,2928,2983,73374
17,10139,"internal.metrics.jvmGCTime",11,154,286,2518
17,10140,"internal.metrics.resultSerializationTime",1,2,3,16
17,10143,"internal.metrics.peakExecutionMemory",67633152,67633152,67633152,1690828800
